Dominant_topic,Subtopics,Dominant_topic_weightage,Subtopics_weightage
Password Reset Failed,"Reset Link Broken, Email Delivery Failed, Security Question Error, Temporary Password Expired, System Timeout Occurred",0.0067,"0.15,0.14,0.13,0.12,0.09"
Account Lockout Issue,"Maximum Attempts Exceeded, Security Policy Triggered, Admin Override Required, Unlock Request Pending",0.0044,"0.19,0.18,0.21"
Balance Update Error,"Real Time Missing, Pending Transaction Delay, Manual Adjustment Required, System Calculation Error, Overnight Processing Failed",0.0094,"0.17,0.16,0.15,0.14,0.09"
Statement Generation Failed,"PDF Generation Error, Template Loading Failed, Data Retrieval Problem, Formatting Issue Detected, Customer Delivery Failed",0.0076,"0.18,0.16,0.14,0.11"
Currency Conversion Problem,"Rate Feed Disrupted, Manual Override Needed, Historical Data Missing, Calculation Algorithm Error",0.0061,"0.16,0.15,0.13,0.08"
Profile Modification Request,"Update Request Submitted, Data Validation Failed, System Processing Delay, Approval Workflow Triggered, Database Update Error",0.0062,"0.19,0.17,0.16,0.15"
Contact Details Update,"Phone Number Invalid, Address Verification Failed, Email Format Wrong, Contact Preference Missing, Communication Channel Error",0.0069,"0.18,0.16,0.14,0.13"
Notification Setup Error,"SMS Service Down, Email Template Error, Preference Setting Failed, Delivery Channel Blocked",0.0055,"0.17,0.15,0.14,0.08"
Account Closure Request,"Regulatory Compliance Required, Final Balance Pending, Documentation Incomplete, Approval Process Started, System Flag Activated",0.0102,"0.20,0.18,0.16,0.15"
Signatory Update Required,"Digital Signature Required, Authority Verification Needed, Documentation Upload Required, Compliance Check Failed, Processing Queue Delayed",0.0069,"0.17,0.16,0.14,0.09"
Direct Debit Rejection,"SEPA Scheme Rejection, Bank Account Closed, Insufficient Funds Available, Mandate Expired Today",0.01,"0.15,0.14,0.12,0.07"
Wire Transfer Delay,"Correspondent Bank Issue, Regulatory Hold Applied, Documentation Requirements Missing, Cut Off Time",0.0093,"0.21,0.19,0.17,0.15"
Card Authorization Failed,"PIN Entry Failed, Merchant Terminal Error, Card Limit Reached, Authorization Code Invalid, Fraud Prevention Triggered",0.0078,"0.18,0.17,0.16,0.14"
Standing Order Error,"Setup Parameters Wrong, Execution Date Invalid, Beneficiary Details Missing, Amount Validation Failed",0.008,"0.16,0.15,0.14,0.08"
Bulk Payment Problem,"File Format Incorrect, Upload Process Failed, Validation Rules Violated, Processing Engine Error, Queue System Overloaded",0.0091,"0.19,0.18,0.17,0.14"
Transaction Limit Exceeded,"Daily Limit Reached, Weekly Threshold Exceeded, Monthly Cap Applied, Transaction Type Restricted",0.0076,"0.17,0.16,0.15,0.09"
Fee Calculation Error,"Pricing Rule Error, Manual Calculation Required, Discount Application Failed, Tax Computation Wrong, Billing Cycle Mismatch",0.0049,"0.18,0.16,0.15,0.13"
Mobile Login Error,"Credential Authentication Failed, Device Registration Error, App Version Outdated, Network Connection Problem",0.0048,"0.22,0.19,0.18,0.15"
Web Portal Timeout,"Session Token Expired, Browser Cache Issue, JavaScript Error Occurred, SSL Certificate Problem, Server Response Delayed",0.0047,"0.16,0.15,0.14,0.10"
API Connection Failed,"Service Endpoint Down, Authentication Key Invalid, Rate Limiting Applied, Data Format Mismatch, Version Compatibility Issue",0.0048,"0.18,0.17,0.15,0.13"
Third Party Access,"Consent Not Provided, Data Access Restricted, Third Party Suspended, Integration Key Expired, Permission Level Insufficient",0.0052,"0.15,0.14,0.13,0.09"
Biometric Setup Failed,"Fingerprint Scan Failed, Face Recognition Error, Voice Pattern Mismatch, Device Not Registered, Sensor Hardware Problem",0.0063,"0.19,0.17,0.16,0.14"
Platform Response Slow,"Database Query Slow, Network Latency High, Resource Allocation Limited, Cache Memory Full, Processing Queue Backlog",0.0064,"0.17,0.16,0.15,0.10"
Letter Credit Issue,"Amendment Processing Delayed, Document Review Required, Beneficiary Verification Failed, Expiry Date Extended, Bank Charges Disputed",0.006,"0.14,0.13,0.12,0.10"
Document Discrepancy Found,"Discrepancy Resolution Pending, Document Resubmission Required, Verification Process Failed, Compliance Check Incomplete",0.0051,"0.21,0.19,0.18,0.15"
Bank Guarantee Delay,"Issuance Request Delayed, Modification Under Review, Claim Notification Received, Expiry Date Approaching, Counterparty Response Pending",0.0057,"0.18,0.17,0.15,0.14"
Export Finance Problem,"Application Under Review, Credit Assessment Pending, Documentation Verification Required, Collateral Evaluation Delayed, Disbursement Approval Needed",0.0049,"0.16,0.15,0.14,0.11"
Import Payment Delay,"Processing Instruction Unclear, Documentation Handler Absent, Customs Authority Delay, Verification Process Incomplete",0.0091,"0.18,0.16,0.15,0.12"
Trade Document Error,"Courier Tracking Lost, Electronic System Down, Amendment Request Received, Authentication Process Failed",0.0067,"0.17,0.16,0.15,0.11"
Liquidity Report Error,"Report Timing Wrong, Data Source Unavailable, Calculation Method Error, Manual Intervention Required, System Refresh Needed",0.0051,"0.19,0.17,0.16,0.15"
FX Rate Dispute,"Market Data Delayed, Confirmation Process Slow, Settlement Instruction Wrong, Accounting Entry Error, Hedge Documentation Missing",0.01,"0.15,0.14,0.13,0.10"
Investment Query Raised,"Query Response Delayed, Product Information Outdated, Portfolio Allocation Wrong, Performance Calculation Error, Client Reporting Error",0.0088,"0.19,0.18,0.16,0.15"
Credit Facility Issue,"Utilization Report Wrong, Interest Rate Applied, Covenant Documentation Missing, Facility Review Scheduled, Renewal Process Started",0.0049,"0.16,0.15,0.14,0.09"
Hedging Problem Reported,"Strategy Documentation Missing, Confirmation Process Delayed, Market Value Wrong, Exposure Calculation Error, Risk Report Incomplete",0.0049,"0.20,0.18,0.17,0.16"
Data Access Request,"Request Processing Delayed, Consent Form Missing, Verification Process Required, Data Extraction Failed, Response Deadline Approaching",0.0069,"0.18,0.17,0.15,0.13"
AML Alert Triggered,"Investigation Process Started, Report Generation Required, Screening Result Positive, Enhanced Review Triggered, Authority Notification Sent",0.0073,"0.17,0.16,0.15,0.09"
KYC Update Required,"Document Collection Incomplete, Verification Process Failed, Review Period Expired, Assessment Score Updated, Risk Classification Changed",0.0047,"0.18,0.17,0.16,0.14"
Authentication Error Reported,"Implementation Process Delayed, System Configuration Wrong, Access Control Modified, Security Protocol Updated, Testing Phase Required",0.0094,"0.17,0.16,0.15,0.10"
Client Categorization Issue,"Assessment Process Incomplete, Documentation Review Required, Classification Update Needed, Product Assignment Wrong, Governance Rule Applied",0.0055,"0.18,0.16,0.15,0.13"
Regulatory Report Delay,"Data Quality Check, Submission Process Failed, Deadline Extension Required, System Validation Error, Authority Response Pending",0.0048,"0.19,0.18,0.17,0.15"
Core System Error,"System Health Check, Performance Monitor Alert, Data Integrity Issue, Synchronization Process Failed, Processing Engine Error",0.0071,"0.15,0.14,0.13,0.11"
Network Connection Lost,"Connection Test Failed, Bandwidth Allocation Insufficient, VPN Configuration Wrong, Remote Access Blocked, Network Route Error",0.005,"0.21,0.19,0.18,0.16"
Database Corruption Detected,"Data Integrity Compromised, Recovery Process Started, Backup Verification Required, System Restore Initiated, Performance Impact Assessed",0.005,"0.16,0.15,0.14,0.11"
Interface Integration Failed,"System Mapping Error, Protocol Version Mismatch, Data Translation Failed, Service Discovery Error, Connection Pool Exhausted",0.0052,"0.18,0.16,0.15,0.12"
Server Hardware Failed,"Component Replacement Required, Diagnostic Test Failed, Warranty Claim Submitted, Service Technician Scheduled, System Downtime Planned",0.0082,"0.17,0.16,0.15,0.11"
Service Response Complaint,"Resolution Time Exceeded, Quality Standard Unmet, Communication Gap Identified, Process Efficiency Low, Customer Satisfaction Down",0.005,"0.19,0.17,0.16,0.14"
Executive Complaint Raised,"Management Attention Required, Escalation Path Activated, Priority Status Assigned, Resource Allocation Increased, Timeline Adjustment Made",0.0047,"0.15,0.14,0.13,0.10"
Account Manager Issue,"Coverage Area Unclear, Communication Protocol Missing, Service Coordination Failed, Responsibility Matrix Undefined, Client Expectation Gap",0.0044,"0.19,0.18,0.16,0.15"
SLA Breach Detected,"Metric Threshold Exceeded, Performance Target Missed, Response Standard Violated, Resolution Timeline Breached, Quality Benchmark Failed",0.0072,"0.16,0.15,0.14,0.09"
Document Authentication Failed,"Completion Status Delayed, Verification Step Missing, Authentication Process Failed, Processing Queue Stuck, Manual Review Required",0.0064,"0.20,0.18,0.17,0.16"
Workflow Approval Stuck,"Routing Logic Error, Status Update Failed, Progress Tracking Lost, Bottleneck Point Identified, Resource Availability Limited",0.0088,"0.18,0.17,0.15,0.13"
Alert System Failed,"Delivery Method Failed, System Alert Missed, Customer Response Delayed, Internal Coordination Poor, Channel Selection Wrong",0.0104,"0.17,0.16,0.15,0.09"
Process Quality Issue,"Adherence Check Failed, Detection Algorithm Wrong, Correction Process Manual, Improvement Plan Required, Standard Compliance Gap",0.0085,"0.18,0.17,0.16,0.14"
Payment Processor Error,"Settlement Process Delayed, Transaction Verification Failed, Fee Structure Disputed, Service Agreement Breach, Processing Error Occurred",0.008,"0.17,0.16,0.15,0.10"
Vendor License Issue,"License Renewal Required, Support Response Slow, Update Process Failed, Compatibility Issue Found, Configuration Error Detected",0.008,"0.18,0.16,0.15,0.13"
Service Provider Complaint,"Performance Metric Low, Contract Term Violated, Quality Standard Unmet, Service Delivery Poor, Compliance Requirement Missing",0.0067,"0.19,0.18,0.17,0.15"
Transaction Fraud Detected,"Transaction Pattern Unusual, Account Behavior Suspicious, Identity Document Suspicious, Phishing Email Received, Social Engineering Attempt",0.0052,"0.15,0.14,0.13,0.11"
Security Breach Reported,"Access Log Suspicious, Data Breach Detected, System Vulnerability Found, Incident Response Triggered, Security Protocol Activated",0.0082,"0.21,0.19,0.18,0.16"
Card Skimming Incident,"Transaction Amount Unusual, Skimming Device Detected, Online Purchase Suspicious, Merchant Category Risky, Geographic Location Unusual",0.0084,"0.16,0.15,0.14,0.11"
Custom Report Error,"Format Specification Wrong, Data Source Unavailable, Accuracy Validation Failed, Template Configuration Error, Delivery Schedule Missed",0.008,"0.18,0.16,0.15,0.12"
Dashboard Access Problem,"Visualization Component Broken, Access Control Wrong, Permission Level Insufficient, Performance Query Slow, Metric Calculation Wrong",0.0045,"0.17,0.16,0.15,0.11"
Analytics Query Failed,"Query Processing Failed, Trend Analysis Incomplete, Reporting Pipeline Broken, Compliance Metric Wrong, Intelligence Algorithm Error",0.0044,"0.19,0.17,0.16,0.14"
Password Expiry Alert,"Password Expiration Warning, System Security Notification, Account Lock Imminent, Credential Update Required, Authentication Reset Needed",0.0085,"0.15,0.14,0.13,0.10"
Multi Factor Failed,"Authentication App Failed, SMS Code Problem, Hardware Token Error, Biometric Scanner Issue, Security Key Malfunction",0.0051,"0.19,0.18,0.16,0.15"
Balance Reconciliation Error,"Balance Mismatch Found, Accounting Entry Error, General Ledger Problem, Trial Balance Issue, Financial Record Discrepancy",0.0047,"0.16,0.15,0.14,0.09"
Transaction History Missing,"Transaction Log Missing, Activity Record Lost, Account History Gap, Statement Entry Absent, Audit Trail Incomplete",0.0053,"0.20,0.18,0.17,0.16"
Exchange Rate Error,"Currency Rate Problem, Exchange Calculation Error, Cross Rate Issue, Market Data Problem, Conversion Fee Error",0.0086,"0.18,0.17,0.15,0.13"
Account Mandate Change,"Corporate Resolution Required, Signatory Authorization Change, Power Attorney Update, Board Approval Needed, Legal Documentation Missing",0.0065,"0.17,0.16,0.15,0.09"
Profile Data Incorrect,"Customer Information Wrong, Contact Details Incorrect, Demographic Data Error, Preference Setting Wrong, Classification Update Required",0.0074,"0.18,0.17,0.16,0.14"
Email Notification Failed,"Email Delivery Failed, Notification Queue Problem, SMTP Server Issue, Distribution List Error, Message Template Problem",0.007,"0.17,0.16,0.15,0.10"
Account Termination Request,"Account Closure Process, Final Statement Required, Balance Transfer Needed, Termination Fee Applied, Regulatory Notice Filed",0.0105,"0.18,0.16,0.15,0.13"
Corporate Setup Delayed,"Entity Setup Delayed, Documentation Review Pending, Compliance Check Required, Account Opening Process, Service Activation Pending",0.0053,"0.19,0.18,0.17,0.15"
International Transfer Failed,"Wire Transfer Failed, Cross Border Problem, Intermediary Bank Issue, Currency Restriction Found, Compliance Hold Applied",0.005,"0.15,0.14,0.13,0.11"
SWIFT Message Error,"Network Message Error, Field Validation Problem, Routing Instructions Wrong, Format Specification Issue, Correspondent Bank Problem",0.0065,"0.21,0.19,0.18,0.16"
Card PIN Reset,"PIN Reset Request, Card Reactivation Required, Security Code Change, Authentication Update Needed, Access Credential Issue",0.0068,"0.16,0.15,0.14,0.11"
Payment File Rejected,"File Format Error, Validation Rule Failed, Processing Engine Problem, Data Mapping Issue, Exception Handling Required",0.008,"0.18,0.16,0.15,0.12"
Signature Verification Failed,"Digital Signature Invalid, Wet Signature Problem, Authorization Mismatch Found, Verification Process Failed, Authentication Document Error",0.0094,"0.17,0.16,0.15,0.11"
Pricing Dispute Raised,"Fee Structure Question, Commission Rate Dispute, Service Charge Problem, Billing Error Found, Pricing Model Issue",0.0068,"0.19,0.17,0.16,0.14"
Mobile Feature Broken,"Application Function Problem, Feature Access Issue, Service Unavailable Error, Mobile Interface Problem, User Experience Issue",0.0072,"0.15,0.14,0.13,0.10"
Browser Compatibility Issue,"Web Browser Problem, Internet Explorer Issue, Chrome Compatibility Error, Firefox Display Problem, Safari Function Issue",0.0062,"0.19,0.18,0.16,0.15"
Open Banking Error,"Third Party Access, API Connection Failed, Data Sharing Problem, Consent Validation Error, Service Provider Issue",0.0064,"0.16,0.15,0.14,0.09"
Consent Management Failed,"User Consent Problem, Permission Management Issue, Data Usage Agreement, Privacy Setting Error, Authorization Scope Problem",0.0045,"0.20,0.18,0.17,0.16"
Token Generation Error,"Digital Certificate Problem, Authentication Token Issue, Security Key Error, Cryptographic Function Problem, Access Credential Invalid",0.0079,"0.18,0.17,0.15,0.13"
System Performance Issue,"Response Time Slow, System Latency High, Processing Delay Found, Resource Utilization Problem, Performance Degradation Detected",0.0047,"0.17,0.16,0.15,0.09"
Credit Amendment Request,"Credit Line Change, Facility Modification Request, Loan Term Amendment, Interest Rate Adjustment, Collateral Valuation Update",0.0046,"0.18,0.17,0.16,0.14"
Collection Processing Delay,"Document Processing Slow, Payment Instruction Delay, Bank Charges Issue, Collection Status Problem, International Collection Error",0.0094,"0.17,0.16,0.15,0.10"
Guarantee Claim Raised,"Insurance Claim Process, Performance Bond Issue, Payment Guarantee Problem, Beneficiary Bank Problem, Claim Documentation Required",0.0067,"0.18,0.16,0.15,0.13"
Finance Application Delayed,"Loan Application Review, Credit Assessment Pending, Documentation Submission Required, Approval Process Delayed, Underwriting Issue Found",0.0045,"0.19,0.18,0.17,0.15"
Customs Clearance Issue,"Trade Documentation Problem, Import Permit Issue, Export License Problem, Customs Declaration Error, Duty Payment Problem",0.0044,"0.15,0.14,0.13,0.11"
Electronic Document Error,"Digital Document Problem, Electronic Signature Issue, PDF Generation Error, Document Format Problem, File Corruption Issue",0.0083,"0.21,0.19,0.18,0.16"
Cash Flow Problem,"Liquidity Management Problem, Cash Position Issue, Working Capital Problem, Credit Line Utilization, Short Term Funding",0.0063,"0.16,0.15,0.14,0.11"
Deal Confirmation Delayed,"Trade Confirmation Problem, Settlement Date Issue, Counterparty Information Problem, Deal Terms Mismatch, Market Data Problem",0.0048,"0.18,0.16,0.15,0.12"
Portfolio Management Issue,"Asset Allocation Issue, Investment Strategy Problem, Portfolio Rebalancing Required, Performance Measurement Issue, Risk Assessment Problem",0.0051,"0.17,0.16,0.15,0.11"
Loan Interest Error,"Interest Accrual Error, Payment Calculation Problem, Amortization Schedule Issue, Principal Balance Problem, Rate Application Error",0.0086,"0.19,0.17,0.16,0.14"
Risk Assessment Failed,"Credit Scoring Problem, Risk Grade Assignment, Assessment Methodology Issue, Rating Model Problem, Default Probability Calculation",0.0088,"0.15,0.14,0.13,0.10"
Personal Data Deletion,"GDPR Deletion Request, Data Erasure Process, Privacy Right Exercise, Information Removal Required, Personal Data Anonymization",0.005,"0.19,0.18,0.16,0.15"
Sanctions Screening Alert,"AML Watch List, Sanctions Database Match, Enhanced Due Diligence, Suspicious Activity Alert, Compliance Investigation Required",0.0067,"0.16,0.15,0.14,0.09"
Document Verification Failed,"Identity Verification Problem, Document Authentication Issue, KYC Process Delayed, Customer Due Diligence, Enhanced Verification Required",0.0075,"0.20,0.18,0.17,0.16"
Strong Authentication Error,"Multi Factor Problem, Two Step Verification, Biometric Authentication Issue, Token Based Access, Certificate Authentication Problem",0.0046,"0.18,0.17,0.15,0.13"
Suitability Assessment Issue,"Investment Advice Problem, Risk Profile Assessment, Client Classification Issue, Product Recommendation Problem, Suitability Documentation Error",0.0052,"0.17,0.16,0.15,0.09"
Transaction Reporting Error,"Regulatory Filing Problem, Transaction Report Error, Compliance Submission Issue, Data Quality Problem, Reporting Template Error",0.0072,"0.18,0.17,0.16,0.14"
Application Server Down,"Primary Server Problem, Application Service Down, Database Connection Lost, Web Service Unavailable, System Recovery Required",0.0093,"0.17,0.16,0.15,0.10"
Bandwidth Issue Reported,"Network Congestion Issue, Data Transfer Problem, Connection Speed Problem, Quality Service Issue, Bandwidth Allocation Problem",0.0066,"0.18,0.16,0.15,0.13"
Fraud Detection Alert,"Suspicious Activity Detected, Transaction Pattern Alert, Account Behavior Anomaly, Risk Score Elevated, Investigation Triggered",0.0085,"0.19,0.18,0.17,0.15"
Data Recovery Required,"Database Restore Required, System Backup Problem, Data Recovery Process, File System Issue, Storage Recovery Needed",0.0057,"0.15,0.14,0.13,0.11"
Service Interface Down,"API Service Problem, Web Service Down, Integration Point Failed, Message Queue Issue, Service Bus Problem",0.0103,"0.21,0.19,0.18,0.16"
Equipment Failure Reported,"Hardware Component Failed, Server Equipment Problem, Network Device Issue, Storage System Problem, Infrastructure Component Down",0.0081,"0.16,0.15,0.14,0.11"
Response Time Complaint,"Customer Satisfaction Issue, Service Quality Problem, Resolution Time Problem, Agent Performance Issue, Process Efficiency Problem",0.005,"0.18,0.16,0.15,0.12"
Board Member Concern,"Executive Complaint Received, Senior Leadership Issue, Governance Concern Raised, Strategic Decision Problem, Management Escalation Required",0.0071,"0.17,0.16,0.15,0.11"
Relationship Coverage Gap,"Account Manager Problem, Client Coverage Issue, Relationship Management Problem, Service Coordination Issue, Communication Gap Found",0.0093,"0.19,0.17,0.16,0.14"
Performance Metric Breach,"SLA Target Missed, Performance Benchmark Failed, Service Level Breach, Quality Metric Problem, Customer Experience Issue",0.0046,"0.15,0.14,0.13,0.10"
Form Processing Delay,"Document Completion Problem, Information Missing Found, Processing Queue Delay, Manual Intervention Required, Workflow Bottleneck Issue",0.0057,"0.19,0.18,0.16,0.15"
Status Tracking Error,"System Status Problem, Process Visibility Issue, Workflow Tracking Problem, Progress Monitoring Issue, Update Notification Problem",0.0103,"0.16,0.15,0.14,0.09"
Customer Communication Failed,"Client Information Update, Communication Channel Problem, Message Delivery Issue, Notification System Problem, Customer Contact Issue",0.0062,"0.20,0.18,0.17,0.16"
Error Detection Problem,"Quality Assurance Problem, Process Control Issue, Standard Compliance Problem, Procedure Adherence Issue, Control Point Failure",0.0049,"0.18,0.17,0.15,0.13"
Settlement Issue Reported,"Trade Settlement Problem, Security Delivery Issue, Cash Settlement Problem, Clearing House Issue, Central Counterparty Problem",0.0057,"0.17,0.16,0.15,0.09"
Software Update Failed,"Program Update Problem, Security Patch Issue, Version Compatibility Problem, Installation Process Problem, Configuration Update Error",0.0049,"0.18,0.17,0.16,0.14"
Contract Compliance Issue,"Vendor Performance Issue, Service Agreement Problem, Third Party Problem, Supplier Quality Issue, Contract Terms Problem",0.0058,"0.17,0.16,0.15,0.10"
Identity Theft Alert,"Personal Information Theft, Account Takeover Attempt, Social Engineering Attack, Credential Compromise Issue, Identity Fraud Alert",0.0074,"0.18,0.16,0.15,0.13"
Access Control Breach,"Security Policy Breach, Unauthorized Entry Attempt, Access Violation Found, Permission Override Issue, Security Protocol Problem",0.0051,"0.19,0.18,0.17,0.15"
Online Fraud Reported,"E Commerce Fraud, Payment Card Fraud, Transaction Fraud Alert, Merchant Fraud Issue, Digital Payment Problem",0.0081,"0.15,0.14,0.13,0.11"
Report Formatting Error,"Report Layout Problem, Data Presentation Issue, Export Function Problem, Print Format Error, Distribution Format Problem",0.0045,"0.21,0.19,0.18,0.16"
Real Time Data,"Live Data Problem, Streaming Service Issue, Real Time Update, Market Data Feed, Current Information Problem",0.0075,"0.16,0.15,0.14,0.11"
Business Intelligence Error,"Analytics Platform Problem, Data Warehouse Issue, Reporting Tool Problem, Dashboard Performance Problem, Query Response Problem",0.0057,"0.18,0.16,0.15,0.12"
Login Session Expired,"Session Cookie Problem, Authentication Session Issue, Login State Problem, User Session Management, Access Token Problem",0.007,"0.17,0.16,0.15,0.11"
Account Synchronization Failed,"Data Consistency Problem, System Integration Issue, Record Matching Problem, Cross Platform Problem, Information Synchronization Error",0.0051,"0.19,0.17,0.16,0.14"
Statement Download Error,"Financial Statement Problem, Document Generation Issue, Report Download Problem, PDF Creation Error, File Access Problem",0.0047,"0.15,0.14,0.13,0.10"
Multi Currency Issue,"Cross Currency Problem, Multi Currency Account, Foreign Exchange Issue, Currency Conversion Problem, Exchange Rate Application",0.0044,"0.19,0.18,0.16,0.15"
User Permission Error,"Role Assignment Problem, Access Rights Issue, Security Clearance Problem, Permission Level Problem, User Group Management",0.0083,"0.16,0.15,0.14,0.09"
Push Notification Failed,"Mobile Notification Problem, Alert System Issue, Message Push Problem, Notification Delivery Problem, Communication Channel Problem",0.0054,"0.20,0.18,0.17,0.16"
Closure Documentation Missing,"Account Termination Document, Closure Process Required, Final Documentation Issue, Regulatory Filing Required, Compliance Document Missing",0.0066,"0.18,0.17,0.15,0.13"
Authorization Matrix Error,"Approval Matrix Problem, Signature Authority Issue, Dual Authorization Problem, Control Matrix Error, Approval Workflow Problem",0.0092,"0.17,0.16,0.15,0.09"
Cross Border Failed,"International Payment Problem, Cross Border Issue, Foreign Exchange Problem, Correspondent Banking Issue, Regulatory Compliance Problem",0.0051,"0.18,0.17,0.16,0.14"
Correspondent Bank Delay,"Banking Partner Problem, Intermediary Bank Issue, Agent Bank Problem, Correspondent Relationship Issue, Network Bank Problem",0.0068,"0.17,0.16,0.15,0.10"
Transaction Dispute Raised,"Chargeback Request Filed, Transaction Reversal Required, Payment Dispute Process, Merchant Dispute Issue, Card Transaction Problem",0.0089,"0.18,0.16,0.15,0.13"
Payment Queue Error,"Payment Processing Queue, Transaction Backlog Issue, Processing Delay Problem, System Queue Problem, Batch Process Issue",0.0066,"0.19,0.18,0.17,0.15"
Dual Control Failed,"Authorization Control Problem, Approval Process Issue, Signature Verification Problem, Dual Control Process, Management Override Issue",0.0101,"0.15,0.14,0.13,0.11"
Service Fee Question,"Service Pricing Question, Fee Schedule Inquiry, Charge Structure Problem, Commission Rate Issue, Cost Breakdown Request",0.0044,"0.21,0.19,0.18,0.16"
App Update Problem,"Mobile Application Problem, Software Update Issue, Feature Enhancement Problem, Bug Fix Required, Version Compatibility Issue",0.0083,"0.16,0.15,0.14,0.11"
Session Management Error,"User Session Problem, Login State Issue, Authentication Session Problem, Access Control Problem, Session Management Error",0.0052,"0.18,0.16,0.15,0.12"
Data Sharing Problem,"Information Sharing Problem, Data Exchange Issue, Privacy Compliance Problem, Consent Management Problem, Third Party Access",0.0069,"0.17,0.16,0.15,0.11"
Provider Authentication Failed,"Service Authentication Problem, Provider Verification Issue, Vendor Access Problem, Third Party Authorization, External Service Problem",0.0045,"0.19,0.17,0.16,0.14"
Biometric Recognition Failed,"Fingerprint Recognition Problem, Face Recognition Issue, Voice Recognition Problem, Iris Scan Issue, Biometric Template Problem",0.0074,"0.15,0.14,0.13,0.10"
Connection Timeout Error,"Network Connection Problem, Internet Access Issue, Service Availability Problem, Communication Link Problem, Connection Stability Issue",0.0049,"0.19,0.18,0.16,0.15"
Document Amendment Required,"Legal Document Problem, Contract Amendment Required, Agreement Modification Issue, Legal Review Process, Documentation Update Required",0.0067,"0.16,0.15,0.14,0.09"
Processing Status Delayed,"Workflow Status Problem, Process Progress Issue, Task Assignment Problem, Queue Management Issue, Status Update Problem",0.01,"0.20,0.18,0.17,0.16"
Claim Settlement Delayed,"Insurance Settlement Problem, Claim Payment Issue, Coverage Question Problem, Policy Interpretation Issue, Benefit Payment Problem",0.006,"0.18,0.17,0.15,0.13"
Application Processing Slow,"Software Processing Problem, System Performance Issue, Application Response Problem, Processing Speed Problem, Resource Utilization Issue",0.0064,"0.17,0.16,0.15,0.09"
Payment Instruction Error,"Settlement Instruction Problem, Payment Order Issue, Transfer Instruction Problem, Routing Information Problem, Beneficiary Data Problem",0.0083,"0.18,0.17,0.16,0.14"
Courier Service Delayed,"Shipping Service Problem, Document Delivery Issue, Express Service Problem, Tracking Information Problem, International Courier Issue",0.0045,"0.17,0.16,0.15,0.10"
Balance Concentration Failed,"Cash Pooling Problem, Liquidity Optimization Issue, Balance Management Problem, Concentration Account Problem, Sweep Function Issue",0.0057,"0.18,0.16,0.15,0.13"
Quote Request Delayed,"Market Quote Problem, Price Request Issue, Rate Inquiry Problem, Pricing Information Problem, Market Data Request",0.0103,"0.19,0.18,0.17,0.15"
Investment Maturity Issue,"Investment Product Problem, Maturity Date Issue, Interest Payment Problem, Principal Payment Issue, Investment Performance Problem",0.0062,"0.15,0.14,0.13,0.11"
Credit Covenant Breach,"Loan Covenant Problem, Financial Ratio Issue, Compliance Breach Found, Covenant Testing Problem, Remediation Process Required",0.0049,"0.21,0.19,0.18,0.16"
Derivative Confirmation Delayed,"Contract Confirmation Problem, Trade Detail Issue, Settlement Information Problem, Counterparty Data Problem, Deal Terms Problem",0.0057,"0.16,0.15,0.14,0.11"
Data Portability Request,"Personal Data Request, Information Access Right, Privacy Compliance Issue, Data Subject Request, Information Disclosure Problem",0.0049,"0.18,0.16,0.15,0.12"
Due Diligence Required,"Enhanced Screening Process, Customer Investigation Required, Risk Assessment Update, Compliance Review Process, Documentation Update Required",0.0058,"0.17,0.16,0.15,0.11"
Risk Rating Update,"Credit Assessment Problem, Risk Rating Change, Rating Migration Issue, Credit Review Process, Assessment Methodology Problem",0.0074,"0.18,0.16,0.15,0.13"
Access Token Expired,"Security Token Problem, Access Credential Issue, Authentication Certificate Problem, Digital Token Issue, Login Credential Problem",0.0051,"0.19,0.18,0.17,0.15"
Product Governance Issue,"Investment Product Problem, Regulatory Requirement Issue, Compliance Documentation Problem, Product Classification Issue, Suitability Assessment Problem",0.0081,"0.15,0.14,0.13,0.11"
Submission Deadline Missed,"Regulatory Report Problem, Filing Deadline Issue, Submission Format Problem, Data Quality Issue, Compliance Reporting Problem",0.0045,"0.21,0.19,0.18,0.16"
Batch Processing Failed,"System Processing Problem, Transaction Batch Issue, Data Processing Problem, Automated Process Issue, System Job Problem",0.0075,"0.16,0.15,0.14,0.11"
Remote Access Problem,"VPN Connection Problem, Remote Network Issue, Secure Access Problem, Corporate Network Problem, Home Office Connection",0.0057,"0.18,0.16,0.15,0.12"
Vulnerability Assessment Required,"Security Assessment Required, Risk Evaluation Process, Threat Analysis Required, Security Audit Process, Vulnerability Review Process",0.007,"0.17,0.16,0.15,0.11"
Backup System Failed,"System Backup Problem, Data Protection Issue, Recovery System Problem, Backup Process Failed, System Restore Problem",0.0051,"0.19,0.17,0.16,0.14"
Protocol Communication Error,"Network Protocol Problem, Communication Standard Issue, Message Format Problem, Data Transmission Problem, System Interface Problem",0.0047,"0.15,0.14,0.13,0.10"
Storage Capacity Issue,"Data Storage Problem, Disk Space Issue, Storage System Problem, Capacity Management Issue, Archive Storage Problem",0.0044,"0.19,0.18,0.16,0.15"